nome,variação,Custo,Preco venda,quantidade
Farofa Típica de Goiás,,7.80,13.00,0
Farofa Tradicional Yoki,,3.90,6.50,0
Farinha de Rosca Artesanal,,3.90,6.50,0
Fubá Yoki,,3.30,5.50,0
Farinha de Trigo Dona Benta,,3.90,6.50,0
Farinha de Milho Alambari,500 g,3.30,5.50,0
Açúcar Refinado União/Caravelas,,3.30,5.50,0
Açúcar Cristal União/Caravelas,,3.30,5.50,0
Arroz Parboilizado,1 kg,2.94,4.90,0
Arroz Prato Fino,1 kg,3.90,6.50,0
Arroz Camil,1 kg,3.30,5.50,0
Feijão Carioca Camil,1 kg,5.94,9.90,0
Feijão Preto Kicaldo,1 kg,3.81,6.35,0
Feijão Broto Legal,1 kg,4.11,6.85,0
Sal Cisne,,3.59,4.50,0
Sal Lebre,,2.85,4.50,0
Café Melitta,500 g,21.60,36.00,0
Café 3 Corações,500 g,19.80,33.00,0
Café União,500 g,19.14,31.90,0
Café Forte,500 g,17.94,29.90,0
Café Sorocabano,500 g,17.94,29.90,0
Café Sorocabano,250 g,8.94,14.90,0
Café 3 Corações,250 g,11.34,18.90,0
Filtro 102,,3.12,5.20,0
Filtro 103,,3.54,5.90,0
Delicie Cristal,,5.25,8.75,0
Marilan Maizena,,2.70,4.50,0
Panco Água e Sal,,2.70,4.50,0
Panco Maria,,2.70,4.50,0
Traquinas,,2.34,3.90,0
Panco Delicioso,200 g,2.70,4.50,0
Panco Delicioso,500 g,5.94,9.90,0
Clube Social,,4.38,7.30,0
Wafer Bauducco,,2.94,4.90,0
Bono,,2.10,3.50,0
Negresco,,2.10,3.50,0
Torrada Bauducco,,3.30,5.50,0
Piraquê Leite Maltado,,1.80,3.00,0
Canela em Pó Kitano,50 g,5.10,8.50,0
Colorífico Kitano,80 g,2.94,4.90,0
Pimenta-do-Reino Preta,40 g,3.30,5.50,0
Canela em Pó Kitano,20 g,2.70,4.50,0
Cravo-da-Índia,10 g,3.30,5.50,0
Folhas de Louro,4 g,2.10,3.50,0
Bicarbonato de Sódio Kitano,80 g,2.70,4.50,0
Frebom,unidade,1.50,2.50,0
Bombril,,2.10,3.50,0
Assolan,,1.74,2.90,0
Sabão em Pó Tixan,400 g,3.90,6.50,0
Sabão em Pó Assim,800 g,5.94,9.90,0
Saco de Lixo,1 kg,8.40,14.00,0
Qboa,1 L,2.94,4.90,0
Água Sanitária IP,1 L,2.70,4.50,0
Tira-Limo Azulim,,3.90,6.50,0
Veja Tradicional,,3.90,6.50,0
Uau,,4.44,7.40,0
Cif Cremoso,450 ml,11.34,18.90,0
Sabão em Pedra,unidade,2.01,3.35,0
Sabão de Coco,unidade,2.34,3.90,0
Amaciante Concentrado Uau,1 L,9.15,15.25,0
Sabão Omo,2,2 kg,21.00,35.00,0
Guaraná,600 ml,4.14,6.90,0
Momesso,600 ml,2.94,4.90,0
Coca-Cola,600 ml,4.14,6.90,0
Gatorade,,3.90,6.50,0
Suco DaFruta Maracujá,,2.70,4.50,0
Água com gás,500 ml,2.40,4.00,0
Água sem gás,500 ml,1.80,3.00,0
Água copinho,200 ml,0.60,1.00,0
Achocolatado,1 L,4.74,7.90,0
Água de Coco Quero Coco,1 L,7.74,12.90,0
Coca-Cola lata,,2.70,4.50,0
Guaraná lata,,2.70,4.50,0
Fanta lata,,2.70,4.50,0
Soda lata,,2.70,4.50,0
H2OH! lata,350 ml,2.70,4.50,0
Crystal lata,,2.40,4.00,0
Amstel lata,,2.70,4.50,0
Skol lata,,2.70,4.50,0
Eisenbahn lata,,2.70,4.50,0
Passatempo Recheada,,2.40,4.00,0
Passatempo Leite,,2.70,4.50,0
Leite Piracanjuba,,3.30,5.50,0
Chá Mate a granel,250 g,7.20,12.00,0
Aveia Integral em Flocos Quaker,165 g,4.14,6.90,0
Maizena,200 g,4.50,7.50,0
Gelatinas diversas,,1.50,2.50,0
Leite de Coco Menina,200 ml,4.14,6.90,0
Fermento Dona Benta,,1.02,1.70,0
Fermento Fleischmann,,1.20,2.00,0
Fermento Químico Royal,100 g,3.54,5.90,0
Leite Moça Integral,395 g,6.30,10.50,0
Leite Condensado Semidesnatado Italac,395 g,4.50,7.50,0
Creme de Leite Italac,200 g,2.40,4.00,0
Creme de Leite Piracanjuba,200 g,2.70,4.50,0
Leite Condensado Semidesnatado Moça,395 g,5.70,9.50,0
Creme de Leite Original Nestlé lata,300 g,6.54,10.90,0
Goiabada Predilecta,300 g,3.30,5.50,0
Molho de Tomate Quero Tradicional Sachê,240 g,1.74,2.90,0
Molho de Tomate Pomarola Tradicional,,2.34,3.90,0
Extrato de Tomate Elefante,300 g,6.30,10.50,0
Sardinha em Óleo Robinson Crusoe,125 g,3.90,6.50,0
Atum Ralado em Óleo Robinson Crusoe,170 g,4.74,7.90,0
Atum Sólido em Óleo Robinson Crusoe,170 g,7.14,11.90,0
Atum Sólido em Óleo Coqueiro,,7.74,12.90,0
Ervilha,280g,2.85,4.90,0
Dueto Predilecta,,2.94,4.90,0
Seleta Predilecta,,3.30,5.50,0
Milho em Lata Quero,,2.94,4.90,0
Milho em Lata Predilecta,,2.94,4.90,0
Azeitona em sachê Ting,,4.74,7.90,0
Champignon em conserva Imperador,,7.14,11.90,0
Palmito Imperador,500 g,20.70,34.50,0
Óleo Lisa,,6.54,10.90,0
Óleo Soya,,6.54,10.90,0
Azeite de Oliva Extra Virgem Gallo Clássico,,23.94,39.90,0
Feijoada Bordon,830 g,13.74,22.90,0
Feijoada Bordon,430 g,8.34,13.90,0
Farofa Típica de Goiás sabor normal,,7.80,13.00,0
Farofa Típica de Goiás sabor picante,,7.80,13.00,0
Pêssego em Calda GB,850 g,10.74,17.90,0
Pêssego em Calda Charmm,,11.70,19.50,0
Maionese Hellmann’s,250 g,5.34,8.90,0
Maionese Hellmann’s,500 g,8.34,13.90,0
Ketchup Quero,400 g,5.10,8.50,0
Mostarda Quero,190 g,4.50,7.50,0
Batata Palha Yoki,100 g,6.49,8.50,0
Batata Pringles,,7.20,12.00,0
Escova de Dente Dentalclean,,3.30,5.50,0
Pasta de Dente Oral-B,70 g,2.70,4.50,0
Sabonete Palmolive Naturals,150 g,2.70,4.50,0
Sabonete Palmolive Naturals,85 g,2.10,3.50,0
Sabonete Protex,85 g,2.94,4.90,0
Absorvente Definite,,1.74,2.90,0
Absorvente Always,,6.54,10.90,0
Cotonete,,5.34,8.90,0
Algodão,,3.54,5.90,0
Palito de Dente Paraná,,0.90,1.50,0
Caixa de Fósforo pacote com 10,,3.00,5.00,0
Caixa de Fósforo Fiat Lux pacote com 10,,3.30,5.50,0
Vela Número 9 Paraná,,6.54,10.90,0
SBP Inseticida Aerossol,,10.14,16.90,0
Pasta de Dente da Mônica,50 g,5.40,9.00,0
Desodorante Herbíssimo Aerosol,150 ml,4.14,6.90,0
Desodorante Herbíssimo pequeno,,2.94,4.90,0
Desodorante Giovanna Baby Roll-On,50 ml,7.14,11.90,0
Loção Hidratante Giovanna Baby,200 ml,12.54,20.90,0
Kit Shampoo + Condicionador OX,,23.94,39.90,0
Kit Hidra Multi Kids Salon Line,,25.14,41.90,0
Água sem gás,1,5 L,2.70,4.50,0
Água sem gás,500 ml,1.80,3.00,0
Pipoca Doce Twique,,4.80,8.00,0
Energético Monster,,7.80,13.00,0
Guaraná,200 ml,1.80,3.00,0
Coca-Cola,200 ml,1.80,3.00,0
Linguiça fininha defumada Perdigão,,5.70,9.50,0
Salsicha,kg,11.94,19.90,0
Calabresa,kg,21.00,35.00,0
Apresuntado fatiado,kg,21.00,35.00,0
Muçarela fatiada,kg,36.00,60.00,0
Salame,kg,75.00,125.00,0
Mortadela Marba,kg,15.00,25.00,0
Mortadela Ouro,kg,21.00,35.00,0
Coca-Cola retornável,1 L,2.94,4.90,0
Fanta retornável,1 L,2.94,4.90,0
Sprite retornável,1 L,2.94,4.90,0
Leite de saquinho Milk Mix,,4.14,6.90,0
Hambúrguer avulso,unidade,1.14,1.90,0
Nuggets Seara,pacote,7.14,11.90,0
Picolé Sorvete Perfeito,,2.94,4.90,0
Bolo De Panes sabor aipim,,9.54,15.90,0
Bolo De Panes sabor leite condensado,,9.54,15.90,0
Bolo De Panes sabor chocolate,,9.54,15.90,0
Bolo De Panes chocolate com calda,,11.94,19.90,0
Língua de sogra artesanal,,4.50,7.50,0
Pão doce,,4.50,7.50,0
Pão caseiro,,4.50,7.50,0
Cachaça 51,,9.54,15.90,0
Cachaça Velho Barreiro,,11.94,19.90,0
Vinho Sabatini,,9.54,15.90,0
Vinho Don Bosco,,9.54,15.90,0
Vinho Girola,,10.50,17.50,0
Cachaça Velho Barreiro pequena,450 ml,2.70,4.50,0
Chinelo Havaianas Top,unidade,19.20,32.00,0
Fofura,,2.10,3.50,0
Cheetos,,2.70,4.50,0
Torcida,,1.80,3.00,0
KitKat,,2.70,4.50,0
Bis,,6.15,10.25,0
Caixa de Bombom Nestlé,,9.90,16.50,0
Caixa de Bombom Garoto,,9.90,16.50,0
Caixa de Bombom Trento,,7.80,13.00,0
Barra de Chocolate Lacta,,7.14,11.90,0
Barra de Chocolate Nestlé,,7.14,11.90,0
Chocolate Talento,,7.14,11.90,0
Fini diversos,80 g,4.74,7.90,0
Bombom Ouro Branco,,1.20,2.00,0
Bombom Sonho de Valsa,,1.20,2.00,0
Chocolate Caribe Garoto,,2.70,4.50,0
Chocolate Charge,,2.34,3.90,0
Mini Oreo,,2.10,3.50,0
M&M unidade,30 g,3.54,5.90,0
Geladinho Di Carlo,,0.90,1.50,0
Suco Del Vale,1l,3.69,4.90,0
Macarrão Barilla,,4.50,6.50,0
Orégano,10g,1.75,2.90,0